CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,P.P.,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001427,1,2,6,32,2,7,21,19,11,,11,1,,0,,,,0,4,8,9
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001437,2,3,8,28,2,11,21,14,24,,18,2,,3,,,,0,2,17,5
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001447,3,5,2,29,3,10,25,10,23,,4,2,,2,,,,0,7,4,6
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001457,4,4,9,31,3,3,22,17,14,,12,2,,0,,,,2,7,14,14
1,Cercado,1,Oruro,2059,Oruro,114,U. E. Mcal. Antonio Jose De Sucre,4001467,5,8,6,26,1,5,21,22,18,,14,1,,2,,,,1,3,10,15
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001617,1,2,2,23,1,3,25,14,36,,14,3,,1,,,,0,6,9,19
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001627,2,0,3,34,3,6,20,16,12,,10,5,,1,,,,0,3,15,9
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001637,3,3,3,28,2,5,26,12,18,,10,1,,0,,,,1,8,14,17
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001647,4,1,6,29,2,8,27,20,18,,9,0,,2,,,,1,10,12,8
1,Cercado,1,Oruro,2059,Oruro,116,U. E. Anglo Americano,4001657,5,1,5,22,1,4,22,14,23,,11,0,,1,,,,1,4,12,13
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000887,1,1,3,37,3,10,21,18,12,,20,2,,3,,,,1,7,11,14
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000897,2,2,7,27,2,6,31,19,18,,7,3,,1,,,,1,5,13,8
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000907,3,1,5,26,2,6,16,25,16,,16,1,,6,,,,4,7,17,10
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000917,4,2,4,33,2,8,17,19,18,,19,1,,1,,,,2,5,15,9
1,Cercado,1,Oruro,2059,Oruro,117,U. Esc. Luis Llosa   España,4000927,5,0,2,18,1,1,8,3,3,,5,0,,0,,,,0,1,5,6
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001057,1,1,3,34,3,8,14,20,13,,22,0,,0,,,,0,4,27,9
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001067,2,5,3,32,2,5,23,20,13,,21,1,,4,,,,0,4,19,7
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001077,3,5,6,37,4,4,21,21,14,,7,2,,1,,,,2,7,20,10
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001087,4,2,2,32,1,2,22,24,13,,18,0,,1,,,,2,4,18,16
1,Cercado,1,Oruro,2059,Oruro,120,U. E. Eduardo Avaroa,4001097,5,0,1,5,0,1,10,8,6,,2,0,,1,,,,0,2,2,3
1,Cercado,1,Oruro,2059,Oruro,122,U. Esc. Uru Uru,4009767,1,2,5,30,4,11,27,9,21,,10,2,,1,,,,1,6,3,11
1,Cercado,1,Oruro,2059,Oruro,122,U. Esc. Uru Uru,4009777,2,4,5,30,1,3,37,9,18,,15,3,,0,,,,1,11,3,6
1,Cercado,1,Oruro,2059,Oruro,122,U. Esc. Uru Uru,4009787,3,7,11,25,1,3,48,15,16,,16,0,,2,,,,0,5,2,6
1,Cercado,1,Oruro,2059,Oruro,122,U. Esc. Uru Uru,4009797,4,7,10,20,2,6,29,14,24,,10,4,,3,,,,2,8,4,6
1,Cercado,1,Oruro,2059,Oruro,122,U. Esc. Uru Uru,4009807,5,9,7,24,0,5,33,7,28,,4,1,,0,,,,1,11,4,5
1,Cercado,1,Oruro,2059,Oruro,122,U. Esc. Uru Uru,4009827,7,7,4,18,2,6,42,14,15,,15,2,,1,,,,0,6,6,6
